,X,Y,k,centroid
174,-122.47430808,37.7166425333,2,False
175,-122.47430808,37.7166425333,2,False
176,-122.47430808,37.7166425333,2,False
177,-122.47430808,37.7166425333,2,False
178,-122.47430808,37.7166425333,2,False
179,-122.47430808,37.7166425333,2,False
180,-122.47430808,37.7166425333,2,False
181,-122.410699658,37.7869881885,3,False
182,-122.416078424,37.7620347867,1,False
183,-122.412777297,37.7868343893,0,False
184,-122.392004362,37.7374889452,1,False
185,-122.47528507,37.7162577964,2,False
186,-122.414390138,37.7885452792,0,False
187,-122.407114491,37.7899019823,3,False
188,-122.405941469,37.790463178,3,False
189,-122.405283981,37.7965510481,3,False
190,-122.411747372,37.7859988324,3,False
191,-122.414457765,37.776508037,0,False
192,-122.406539115,37.7564864109,1,False
193,-122.406539115,37.7564864109,1,False
194,-122.409686192,37.7862042105,3,False
195,-122.409756224,37.7869126924,3,False
196,-122.409756224,37.7869126924,3,False
197,-122.409876623,37.787148808,3,False
198,-122.405832474,37.7857446546,3,False
199,-122.408201657,37.7868849113,3,False
200,-122.408231026,37.787359495,3,False
201,-122.417964484,37.7586968166,1,False
202,-122.415781282,37.7588312135,1,False
203,-122.41592985,37.7604330004,1,False
204,-122.415629332,37.7572322279,1,False
205,-122.42206273,37.7899200015,0,False
206,-122.42206273,37.7899200015,0,False
207,-122.42206273,37.7899200015,0,False
208,-122.42206273,37.7899200015,0,False
209,-122.42206273,37.7899200015,0,False
210,-122.42206273,37.7899200015,0,False
211,-122.42206273,37.7899200015,0,False
212,-122.42206273,37.7899200015,0,False
213,-122.42206273,37.7899200015,0,False
214,-122.42206273,37.7899200015,0,False
215,-122.409888227,37.806025534,0,False
216,-122.409876623,37.787148808,3,False
217,-122.408040475,37.7864094034,3,False
218,-122.409055191,37.7871979591,3,False
219,-122.409876623,37.787148808,3,False
220,-122.408519707,37.7864044708,3,False
221,-122.408040475,37.7864094034,3,False
222,-122.407244087,37.7865647608,3,False
223,-122.407854235,37.7854922045,3,False
224,-122.409686192,37.7862042105,3,False
225,-122.409876623,37.787148808,3,False
226,-122.417964484,37.7586968166,1,False
227,-122.408231026,37.787359495,3,False
228,-122.409686192,37.7862042105,3,False
229,-122.408201657,37.7868849113,3,False
